dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
12,,Everton FC,Premier League,Goalkeeper,Republic of Ireland,12l99v9rpet6ug6n121tg6ay1,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/12l99v9rpet6ug6n121tg6ay1
37,,Everton FC,Premier League,Midfielder,England,15948izygnu32cu1pw6h5wp9l,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/15948izygnu32cu1pw6h5wp9l
24,,Everton FC,Premier League,Midfielder,Argentina,18qxb54ol1s4mtgl7n3224ciy,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/18qxb54ol1s4mtgl7n3224ciy
32,,Everton FC,Premier League,Defender,England,1ph4g125dfsijfjzjpcvpcmlm,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/1ph4g125dfsijfjzjpcvpcmlm
11,,Everton FC,Premier League,Attacker,France,1wileoy8mxtd2t1b106uhwzro,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/1wileoy8mxtd2t1b106uhwzro
22,,Everton FC,Premier League,Midfielder,England,2bkp1lcaxmvwoanxwo0775cdl,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/2bkp1lcaxmvwoanxwo0775cdl
17,Youssef Chermiti,Everton FC,Premier League,Attacker,Portugal,2m5jzeksbet8ltn3shk2exox6,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/2m5jzeksbet8ltn3shk2exox6
,,Everton FC,Premier League,,England,2s1ljgqlgyf9yxyau28ddr8id,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/2s1ljgqlgyf9yxyau28ddr8id
6,,Everton FC,Premier League,Defender,England,35jaxclh329duzefna708jk5x,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/35jaxclh329duzefna708jk5x
10,,Everton FC,Premier League,Attacker,Senegal,3dm2bfuoyips4rbj0vhvbp9be,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/3dm2bfuoyips4rbj0vhvbp9be
20,,Everton FC,Premier League,Midfielder,England,3qov7l9cw4fu5xwh0lmxmsc2c,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/3qov7l9cw4fu5xwh0lmxmsc2c
73,,Everton FC,Premier League,Defender,England,3ugtm0sad0swalypypy63sqy2,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/3ugtm0sad0swalypypy63sqy2
34,,Everton FC,Premier League,Midfielder,Germany,5n7vp6g13q7sxkzbygfbz27oq,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/5n7vp6g13q7sxkzbygfbz27oq
31,,Everton FC,Premier League,Goalkeeper,Wales,5tj6pv6iyp7gcyne3787xvh05,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/5tj6pv6iyp7gcyne3787xvh05
5,,Everton FC,Premier League,Defender,England,6og6s61vrg51rfqxk9cipylzp,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/6og6s61vrg51rfqxk9cipylzp
9,Beto,Everton FC,Premier League,Attacker,Guinea-Bissau,6z3a27dxffwacyxof0imvcfvu,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/6z3a27dxffwacyxof0imvcfvu
18,,Everton FC,Premier League,Midfielder,England,72nph557ee2a9tdky8rvk12vp,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/72nph557ee2a9tdky8rvk12vp
7,,Everton FC,Premier League,Attacker,England,7qgt7sht6py670pt6t4wjhqay,ehd2iemqmschhj2ec0vayztzz,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz/player/view/7qgt7sht6py670pt6t4wjhqay
