dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
76,,Tottenham Hotspur FC,Premier League,Defender,England,1d3da6oy5qbv09fra1z4pqrdg,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/1d3da6oy5qbv09fra1z4pqrdg
8,,Tottenham Hotspur FC,Premier League,Midfielder,Mali,1g15ehziupxnsy1kvl3pqmbc9,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/1g15ehziupxnsy1kvl3pqmbc9
22,,Tottenham Hotspur FC,Premier League,Attacker,Wales,1l228p52d8wdf8qhfxqu8rca,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/1l228p52d8wdf8qhfxqu8rca
,,Tottenham Hotspur FC,Premier League,,Denmark,1rv3g0f7hwihwtv18aydane1h,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/1rv3g0f7hwihwtv18aydane1h
52,,Tottenham Hotspur FC,Premier League,Midfielder,England,235o0gowb68vw5utyes1a51qs,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/235o0gowb68vw5utyes1a51qs
17,,Tottenham Hotspur FC,Premier League,Defender,Argentina,2w7i4jfw5wgh3j2wuworoumeh,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/2w7i4jfw5wgh3j2wuworoumeh
68,,Tottenham Hotspur FC,Premier League,Midfielder,England,2wi1g2fjcgxsm2gqkyj6jh9n8,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/2wi1g2fjcgxsm2gqkyj6jh9n8
44,,Tottenham Hotspur FC,Premier League,Attacker,England,33h8s55zcj0j535g2dyz9tnqi,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/33h8s55zcj0j535g2dyz9tnqi
30,,Tottenham Hotspur FC,Premier League,Midfielder,Uruguay,3wp8fuk07m1ph1fpmbqe7tf55,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/3wp8fuk07m1ph1fpmbqe7tf55
,,Tottenham Hotspur FC,Premier League,Midfielder,England,452iau45neg25sijaadssp5w4,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/452iau45neg25sijaadssp5w4
4,,Tottenham Hotspur FC,Premier League,Defender,Austria,4ezld812zytvbokz97jwycgkp,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/4ezld812zytvbokz97jwycgkp
3,,Tottenham Hotspur FC,Premier League,Defender,Romania,4gbk8ka3fv401f8zyslo38fai,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/4gbk8ka3fv401f8zyslo38fai
14,,Tottenham Hotspur FC,Premier League,Midfielder,England,4stnvxbf7enogqej29n3ll0d0,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/4stnvxbf7enogqej29n3ll0d0
31,,Tottenham Hotspur FC,Premier League,Goalkeeper,Czechia,5qc2hwkixcdpfbq6qmfpxvey2,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/5qc2hwkixcdpfbq6qmfpxvey2
66,,Tottenham Hotspur FC,Premier League,Defender,England,63h9n39ir7zomgxldd4a8rv2s,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/63h9n39ir7zomgxldd4a8rv2s
23,,Tottenham Hotspur FC,Premier League,Defender,Spain,77yaqzy45dxtzicao00jxrlgq,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/77yaqzy45dxtzicao00jxrlgq
15,,Tottenham Hotspur FC,Premier League,Midfielder,Sweden,7pk2vyumro8ku45aar5dw7dw4,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/7pk2vyumro8ku45aar5dw7dw4
33,,Tottenham Hotspur FC,Premier League,Defender,Wales,7qy1hiitksyuaa9l0irxg240l,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/7qy1hiitksyuaa9l0irxg240l
16,,Tottenham Hotspur FC,Premier League,Defender,Croatia,81qmlg0ttijhkywm55ejdr40k,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/81qmlg0ttijhkywm55ejdr40k
40,,Tottenham Hotspur FC,Premier League,Goalkeeper,England,8y8d2dd469x9q0lc7qfyxypyh,22doj4sgsocqpxw45h607udje,2kwbbcootiqqgmrzs6o5inle5,51r6ph2woavlbbpk8f29nynf8,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje/player/view/8y8d2dd469x9q0lc7qfyxypyh
